id,imdb_rating,imdb_votes,rotten_tomatoes_score,metacritic_score,awards,writer,rated,country
1138194,7.0,173241.0,90.0,71.0,Nominated for 1 BAFTA Award3 wins & 39 nominations total,"Scott Beck, Bryan Woods",R,"United States, Canada"
585083,,,,,N/A,N/A,N/A,N/A
840326,6.9,98820.0,94.0,70.0,10 wins & 10 nominations total,Jalmari Helander,R,"Finland, United Kingdom, United States"
954,7.2,505041.0,67.0,59.0,3 wins & 17 nominations total,"Bruce Geller, David Koepp, Steven Zaillian",PG-13,United States
11688,7.4,239774.0,86.0,70.0,Nominated for 1 Oscar. 7 wins & 27 nominations total,"Chris Williams, Mark Dindal, David Reynolds",G,"United States, Japan, France"
32657,5.9,210964.0,48.0,47.0,11 nominations total,"Craig Titley, Rick Riordan",PG,"United Kingdom, Canada, United States"
1008042,,40.0,,,N/A,"C.L. Lowry, Christopher McClean",N/A,United States
383498,7.6,724382.0,83.0,66.0,6 wins & 52 nominations total,"Rhett Reese, Paul Wernick, Ryan Reynolds",R,"United States, Canada"
937287,7.0,160875.0,88.0,82.0,74 wins & 151 nominations total,Justin Kuritzkes,R,"Italy, United States"
127585,7.9,776258.0,90.0,75.0,Nominated for 1 Oscar. 16 wins & 48 nominations total,"Simon Kinberg, Jane Goldman, Matthew Vaughn",PG-13,"United Kingdom, United States, Canada"
351286,6.1,370368.0,47.0,51.0,5 wins & 26 nominations total,"Derek Connolly, Colin Trevorrow, Michael Crichton",PG-13,"United States, China"
335983,6.6,587479.0,31.0,35.0,2 wins & 9 nominations total,"Jeff Pinkner, Scott Rosenberg, Kelly Marcel",PG-13,"United States, China"
675353,6.5,110441.0,69.0,47.0,2 wins & 3 nominations total,"Pat Casey, Josh Miller, John Whittington",PG,"United States, Japan, United Kingdom"
527774,7.3,183292.0,93.0,74.0,Nominated for 1 Oscar. 13 wins & 62 nominations total,"Qui Nguyen, Adele Lim, Paul Briggs",PG,United States
337404,7.3,284637.0,75.0,59.0,Won 1 Oscar. 28 wins & 43 nominations total,"Dana Fox, Tony McNamara, Aline Brosh McKenna",PG-13,"United States, United Kingdom, Canada, Ireland"
110415,7.1,410909.0,94.0,84.0,35 wins & 108 nominations total,"Jacques Lob, Benjamin Legrand, Jean-Marc Rochette",R,"South Korea, Czech Republic"
507089,5.4,118178.0,33.0,33.0,22 nominations total,"Scott Cawthon, Seth Cuddeback, Emma Tammi",PG-13,United States
581528,7.0,29943.0,97.0,65.0,1 win & 2 nominations total,Lee Won-tae,Not Rated,South Korea
271110,7.8,898384.0,90.0,75.0,16 wins & 73 nominations total,"Christopher Markus, Stephen McFeely, Joe Simon",PG-13,"United States, Germany, Puerto Rico"
474350,6.5,330727.0,62.0,58.0,7 wins & 34 nominations total,"Stephen King, Gary Dauberman",R,"United States, Canada"
9532,6.7,322750.0,49.0,39.0,3 wins & 5 nominations total,"Glen Morgan, James Wong, Jeffrey Reddick",R,"United States, Canada"
438148,6.5,100677.0,69.0,56.0,1 win & 17 nominations total,"Matthew Fogel, Brian Lynch",PG,United States
301528,7.6,303191.0,96.0,84.0,Won 1 Oscar. 61 wins & 65 nominations total,"John Lasseter, Andrew Stanton, Josh Cooley",G,United States
338953,6.2,185466.0,46.0,47.0,7 nominations total,"J.K. Rowling, Steve Kloves",PG-13,"United Kingdom, United States"
75656,7.2,748088.0,51.0,50.0,1 win & 3 nominations total,"Ed Solomon, Boaz Yakin, Edward Ricourt",PG-13,"United States, France"
283995,7.6,806353.0,85.0,67.0,Nominated for 1 Oscar. 15 wins & 60 nominations total,"James Gunn, Dan Abnett, Andy Lanning",PG-13,United States
10192,6.3,237152.0,58.0,58.0,1 win & 13 nominations total,"Josh Klausner, Darren Lemke, William Steig",PG,"United States, France"
68718,8.5,1817589.0,87.0,81.0,Won 2 Oscars. 58 wins & 158 nominations total,Quentin Tarantino,R,United States
4951,7.4,430258.0,71.0,70.0,2 wins & 13 nominations total,"Karen McCullah, Kirsten Smith, William Shakespeare",PG-13,United States
68737,5.5,82521.0,12.0,30.0,2 wins & 1 nomination total,"Charles Leavitt, Steven Knight, Matt Greenberg",PG-13,"United Kingdom, China, Canada, United States"
950,6.8,311073.0,56.0,59.0,8 wins & 16 nominations total,"Peter Gaulke, Gerry Swallow, Jim Hecht",PG,"United States, United Kingdom"
77338,8.5,994142.0,75.0,57.0,Nominated for 1 BAFTA Award38 wins & 40 nominations total,"Olivier Nakache, Éric Toledano, Philippe Pozzo di Borgo",R,France
46195,6.9,265100.0,72.0,63.0,Nominated for 1 Oscar. 3 wins & 31 nominations total,"Carlos Saldanha, Earl Richey Jones, Todd R. Jones",G,"United States, United Kingdom"
14161,5.8,413925.0,40.0,49.0,5 wins & 21 nominations total,"Roland Emmerich, Harald Kloser",PG-13,United States
57158,7.8,737915.0,74.0,66.0,Nominated for 3 Oscars. 19 wins & 90 nominations total,"Fran Walsh, Philippa Boyens, Peter Jackson",PG-13,"New Zealand, United States"
2277,6.9,129540.0,37.0,42.0,Nominated for 1 Oscar. 2 wins & 8 nominations total,"Isaac Asimov, Robert Silverberg, Nicholas Kazan",PG,"United States, Germany"
9286,5.9,175540.0,44.0,43.0,6 nominations total,"Glen Morgan, James Wong, Jeffrey Reddick",R,"United States, Canada"
337339,6.6,266672.0,67.0,56.0,2 wins & 16 nominations total,"Gary Scott Thompson, Chris Morgan",PG-13,"China, Japan, United States, Mexico"
713704,6.5,159757.0,85.0,69.0,4 wins & 32 nominations total,Lee Cronin,R,"Ireland, New Zealand, United States"
72190,7.0,761337.0,67.0,63.0,3 wins & 25 nominations total,"Matthew Michael Carnahan, Drew Goddard, Damon Lindelof",PG-13,"United States, United Kingdom"
45243,6.5,560685.0,35.0,44.0,5 wins & 18 nominations total,"Craig Mazin, Scot Armstrong, Todd Phillips",R,United States
10802,5.1,79630.0,24.0,25.0,10 wins & 10 nominations total,Joe Eszterhas,NC-17,"France, United States"
4247,6.3,307378.0,51.0,48.0,7 wins & 6 nominations total,"Shawn Wayans, Marlon Wayans, Buddy Johnson",R,United States
262500,6.2,266472.0,29.0,42.0,4 wins & 18 nominations total,"Brian Duffield, Akiva Goldsman, Mark Bomback",PG-13,"United States, Canada"
920,7.3,513360.0,74.0,73.0,Nominated for 2 Oscars. 28 wins & 34 nominations total,"John Lasseter, Joe Ranft, Jorgen Klubien",G,United States
2501,7.8,599763.0,84.0,68.0,3 wins & 6 nominations total,"Tony Gilroy, William Blake Herron, Robert Ludlum",PG-13,"Czech Republic, Germany, United States"
436270,6.2,296173.0,39.0,41.0,1 win & 12 nominations total,"Adam Sztykiel, Rory Haines, Sohrab Noshirvani",PG-13,"United States, Canada, New Zealand, Hungary"
417859,6.6,204347.0,85.0,65.0,Nominated for 1 Oscar. 9 wins & 43 nominations total,"Tom Wheeler, Brian Lynch, William Davies",PG,United States
101,8.5,1315429.0,75.0,64.0,5 wins & 16 nominations total,Luc Besson,R,"France, United States"
49444,7.3,344896.0,82.0,67.0,Nominated for 1 Oscar. 5 wins & 47 nominations total,"Jonathan Aibel, Glenn Berger, Ethan Reiff",PG,"United States, Canada"
561,7.0,397839.0,46.0,50.0,2 wins & 11 nominations total,"Jamie Delano, Garth Ennis, Kevin Brodbin",R,"United States, Germany"
81481,8.0,25666.0,100.0,,4 wins & 10 nominations total,"Ji-young Gong, Hwang Dong-hyuk",Not Rated,South Korea
856289,6.7,5959.0,60.0,,45 wins & 45 nominations total,"Xixing Lu, Jianan Ran, Ping Ran",Not Rated,China
